COL,CP,TIPO PENSION,EDAD,MUNICIPIO,CIUDAD
CENTRO,35800,CE,52,Cuencamé,
AMP SAN ANTONIO,35015,CE,45,Gómez Palacio,Gómez Palacio
EL CONSUELO,35090,CE,44,Gómez Palacio,Gómez Palacio
BOSQUE REAL,35029,IN,40,Gómez Palacio,Gómez Palacio
MPIO LERDO DGO,35189,IN,37,Lerdo,
211,35044,VO,34,Gómez Palacio,Gómez Palacio
FRACC. LAS FUENTES,34220,VI,52,Durango,Victoria de Durango
FRACC. LOS MOLINOS,35159,VI,33,Lerdo,Ciudad Lerdo
FRACC. FIDEL VELAZQUEZ,35025,IN,29,Gómez Palacio,Gómez Palacio
EJ HUITRON,35111,CE,55,Gómez Palacio,
MPIO SIMON BOLIVAR,35196,VE,53,Lerdo,
INSURGENTES,34130,CE,49,Durango,Victoria de Durango
BERMEJILLO,35230,CE,46,Mapimí,
JOSE MA MORELOS,55018,VI,10,,
BENJAMIN MENDEZ,34228,CE,70,Durango,Victoria de Durango
LOS ALAMOS,35027,VO,88,Gómez Palacio,Gómez Palacio
COL. HECTOR MAYAGOITIA,34010,CE,43,Durango,Victoria de Durango
FRACC CANELAS,34290,CE,51,Durango,Victoria de Durango
FRACC FILADELFIA,35010,VI,63,Gómez Palacio,Gómez Palacio
BENITO JUAREZ,34120,VI,45,Durango,Victoria de Durango
LOS ALAMOS,35020,CE,39,Gómez Palacio,Gómez Palacio
LOS ALAMOS,35020,CE,39,Gómez Palacio,Gómez Palacio
LOS ALAMOS,35020,CE,39,Gómez Palacio,Gómez Palacio
LOS ALAMOS,35020,CE,39,Gómez Palacio,Gómez Palacio
FRACC. HACIENDAS DEL CAMPESTRE,34131,VI,60,,
CINCO DE MAYO,35040,VE,59,Gómez Palacio,Gómez Palacio
EL NAYAR,34303,OR,67,Durango,
EL RENACIMIENTO,34840,VI,67,Nombre de Dios,Nombre de Dios
HUIZACHE I,34160,VI,64,Durango,Victoria de Durango
ZONA CENTRO,34000,VI,59,Durango,Victoria de Durango
LOC NUEVO GRACEROS,35199,VE,58,Lerdo,
CENTRO,35000,VE,57,Gómez Palacio,Gómez Palacio
COL ATERRIZAJE LOC EL SALTO,34947,VO,56,Pueblo Nuevo,El Salto
HECTOR MAYAGOITIA DGUEZ.,34010,VI,56,Durango,Victoria de Durango
ZONA CENTRO,35250,VE,56,Tlahualilo,
EL SALTO,34940,VI,56,Pueblo Nuevo,El Salto
LEGISLADORES DURANGUEﾃ前S,34000,CE,56,Durango,Victoria de Durango
ZONA CENTRO,34410,VE,54,Nuevo Ideal,
EL REFUGIO,35029,CE,54,Gómez Palacio,Gómez Palacio
EMILIANO ZAPATA,34230,CE,54,Durango,Victoria de Durango
SANTA FE,34240,CE,54,Durango,Victoria de Durango
AMALIA SOLORZANO,34136,VE,53,Durango,Victoria de Durango
PUEBLO NUEVO,34676,CE,53,San Dimas,
EMILIANO ZAPATA,34230,CE,52,Durango,Victoria de Durango
BUENA VISTA LOC EL SALTO,34946,CE,52,Pueblo Nuevo,El Salto
CHAPULTEPEC,34150,CE,51,Durango,Victoria de Durango
TIERRA Y LIBERTAD,34127,CE,51,Durango,Victoria de Durango
FIDEL VELAZQUEZ 1,34229,CE,51,Durango,Victoria de Durango
AMPL STA ROSA,35040,CE,51,Gómez Palacio,Gómez Palacio
FRACC. SAN JOSE,34204,CE,51,Durango,Victoria de Durango
VALLE DEL GUADIANA,34166,CE,51,Durango,Victoria de Durango
ARMANDO DEL CASTILLO FRANCO,34214,CE,51,Durango,Victoria de Durango
ABRAHAM ROSALES,35018,CE,51,Gómez Palacio,Gómez Palacio
EJ JIMENEZ,35111,VI,50,Gómez Palacio,
TIERRA Y LIBERTAD,35168,VI,50,Lerdo,Ciudad Lerdo
COL. GUADALUPE,34020,VI,50,Durango,Victoria de Durango
FELIPE ANGELES,34048,VI,50,Durango,Victoria de Durango
FELIPE ANGELES,34048,VI,50,Durango,Victoria de Durango
16 DE SEPTIEMBRE,34030,CE,50,Durango,Victoria de Durango
HUIZACHE,34160,CE,50,Durango,Victoria de Durango
NUEVO REFUGIO,35029,CE,50,Gómez Palacio,Gómez Palacio
DOM. CONOCIDO LA ESMERALDA,35120,VE,49,Gómez Palacio,
SANTA AMELIA,34205,CE,49,Durango,Victoria de Durango
TIERRA Y LIBERTAD,34127,CE,49,Durango,Victoria de Durango
EL DORADO,35028,IPP,49,Gómez Palacio,Gómez Palacio
SAN VICENTE DE CHUPADEROS,34301,CE,48,,
VICENTE DE CHUPADEROS,34301,CE,48,,
SAN VICENTE CHUPADEROS,34301,CE,48,,
BUROCRATA,34279,CE,48,Durango,Victoria de Durango
LAS CUMBRES,34287,CE,47,Durango,Victoria de Durango
PARQUE HUNDIDO,35049,CE,47,Gómez Palacio,Gómez Palacio
SAN JOSE DEL MOLINO,34393,CE,47,Durango,
A. DEL CASTILLO FRANCO,35066,CE,47,Gómez Palacio,Gómez Palacio
PUEBLO NUEVO EL 7,35106,CE,46,Gómez Palacio,
ZONA CENTRO,34000,CE,45,Durango,Victoria de Durango
LOC MARTIN LOPEZ,34464,CE,45,Canatlán,
SAN ISIDRO,35156,CE,45,Lerdo,Ciudad Lerdo
FIDEL VELAZQUEZ II,34229,CE,45,Durango,Victoria de Durango
EJ LUCERO,35265,VE,44,Tlahualilo,
S/N,34405,VE,44,Canatlán,
DIANA LAURA ROJAS,34200,IN,44,Durango,Victoria de Durango
EJ ESMERALDA,35120,VI,43,Gómez Palacio,
LOMA DORADA,34104,CE,43,Durango,Victoria de Durango
DIVISION DEL NORTE,35019,CE,43,Gómez Palacio,Gómez Palacio
BARRIO TIERRA BLANCA,34139,CE,43,Durango,Victoria de Durango
LAGUNA SANTIAGUILLO,34204,CE,43,Durango,Victoria de Durango
SANTA AMELIA,34205,IN,42,Durango,Victoria de Durango
JOSE ANGEL LEAL,34206,VI,39,Durango,Victoria de Durango
JUAN DE LA BARRERA,34228,IN,38,Durango,Victoria de Durango
JUAN DE LA BARRERA,34150,IN,38,Durango,Victoria de Durango
JUAN DE LA BARRERA,34228,IN,38,Durango,Victoria de Durango
FRACC. QUINTAS LERDO,35160,IN,37,Lerdo,Ciudad Lerdo
HIDALGO,34310,VI,36,Durango,
FRACC. PUERTA DEL SOL,34125,IN,36,Durango,Victoria de Durango
ZONA CENTRO,34410,VI,34,Nuevo Ideal,
HECTOR MAYAGOITIA DOMINGUEZ,35060,VI,34,Gómez Palacio,Gómez Palacio
LOC MARIA ANTONIETA,35137,IN,33,Gómez Palacio,
BUGAMBILIAS,34234,VI,33,Durango,Victoria de Durango
ZONA CENTRO,35150,VI,31,Lerdo,Ciudad Lerdo
MONTEBELLO,35157,VE,60,Lerdo,Ciudad Lerdo
LAZARO CARDENAS,35064,VI,57,Gómez Palacio,Gómez Palacio
LOS ALAMOS,35020,CE,53,Gómez Palacio,Gómez Palacio
JOSE CAMPILLO SAENZ,35079,CE,53,Gómez Palacio,Gómez Palacio
FIDEL VELAZQUEZ,35025,CE,53,Gómez Palacio,Gómez Palacio
FIDEL VELAZQUEZ,35025,CE,52,Gómez Palacio,Gómez Palacio
CENTRO,35150,CE,50,Lerdo,Ciudad Lerdo
TIERRA BLANCA,35045,CE,49,Gómez Palacio,Gómez Palacio
FRACC. SAN ANTONIO,35015,CE,47,Gómez Palacio,Gómez Palacio
BOSQUE REAL,35029,IN,40,Gómez Palacio,Gómez Palacio
FRACC. LAS FUENTES,34220,VI,52,Durango,Victoria de Durango
AV. LOS NARANJOS,34190,CE,45,Durango,Victoria de Durango
FRACC. FIDEL VELAZQUEZ,35025,IN,29,Gómez Palacio,Gómez Palacio
EMILIANO ZAPATA,34230,CE,41,Durango,Victoria de Durango
EJIDO HUITRON,35117,IN,30,Gómez Palacio,
EJ HUITRON,35111,CE,55,Gómez Palacio,
FIDEL VELAZQUEZ,35025,CE,53,Gómez Palacio,Gómez Palacio
FRACC. SAN JUAN,34208,CE,33,Durango,Victoria de Durango
CENTRO,35150,CE,52,Lerdo,Ciudad Lerdo
INSURGENTES,34130,CE,49,Durango,Victoria de Durango
BENJAMIN MENDEZ,34228,CE,70,Durango,Victoria de Durango
COL. HECTOR MAYAGOITIA,34010,CE,43,Durango,Victoria de Durango
FRACC. JARDINES DE DURANGO,34200,CE,54,Durango,Victoria de Durango
FRACC. JARDINES DE DURANGO,34200,CE,54,Durango,Victoria de Durango
FRACC FILADELFIA,35010,VI,63,Gómez Palacio,Gómez Palacio
BENITO JUAREZ,34120,VI,45,Durango,Victoria de Durango
FRACC. HACIENDAS DEL CAMPESTRE,34131,VI,60,,
FIDEL VELAZQUEZ,35025,CE,50,Gómez Palacio,Gómez Palacio
ASENTAMIENTOS HUMANOS,34145,CE,48,Durango,Victoria de Durango
MORELOS,34940,CE,47,Pueblo Nuevo,El Salto
HECTOR MAYAGOITIA DOMINGUEZ,34010,IN,17,Durango,Victoria de Durango
EL NAYAR,34303,OR,67,Durango,
COL. FCO ZARCO,34210,VI,67,Durango,Victoria de Durango
FRACC. LAS AMERICAS,34200,VI,67,Durango,Victoria de Durango
EL RENACIMIENTO,34840,VI,67,Nombre de Dios,Nombre de Dios
RDCIAL SANTA TERESA,34199,VI,66,Durango,Victoria de Durango
TIERRA Y LIBERTAD,34127,VE,63,Durango,Victoria de Durango
LA ALAMEDAS,35800,VE,62,Cuencamé,
LA FORESTAL,34217,VE,61,Durango,Victoria de Durango
LOPEZ PORTILLO,34010,VI,60,Durango,Victoria de Durango
ZONA CENTRO,34000,VI,59,Durango,Victoria de Durango
ARMANDO DEL CASTILLO,34214,VE,59,Durango,Victoria de Durango
MPIO SIMON BOLIVAR,35964,VI,57,,
SAN VICENTE CHUPADEROS,34394,VI,56,Durango,
EL DURAZNO,34321,CE,56,,
LEGISLADORES DURANGUEﾃ前S,34000,CE,56,Durango,Victoria de Durango
INSURGENTES,34130,VE,55,Durango,Victoria de Durango
VILLA JARDIN,35168,CE,55,Lerdo,Ciudad Lerdo
LOC. SAN ISIDRO,34683,CE,54,San Dimas,
EMILIANO ZAPATA,34230,CE,53,Durango,Victoria de Durango
EL REFUGIO,34358,CE,52,Durango,
EMILIANO ZAPATA,34230,CE,52,Durango,Victoria de Durango
EMILIANO ZAPATA,34230,CE,52,Durango,Victoria de Durango
SAN JOSE DEL MOLINO,34393,VI,51,Durango,
FRACC HAMBURGO,35019,IN,51,Gómez Palacio,Gómez Palacio
FIDEL VELAZQUEZ 1,34229,CE,51,Durango,Victoria de Durango
AMPL STA ROSA,35040,CE,51,Gómez Palacio,Gómez Palacio
SANTA ROSA,35040,CE,51,Gómez Palacio,Gómez Palacio
FRACC. NUEVO DURANGO,34166,CE,51,Durango,Victoria de Durango
SIN NOMBRE,35114,VI,50,Gómez Palacio,
COL. GUADALUPE,34020,VI,50,Durango,Victoria de Durango
EJ JIMENEZ,35111,VE,50,Gómez Palacio,
HUIZACHE,34160,CE,50,Durango,Victoria de Durango
FRANCISCO ZARCO,34400,CE,50,Canatlán,
SAN VICENTE DE CHUPADEROS,34301,CE,48,,
VICENTE DE CHUPADEROS,34301,CE,48,,
VICENTE GUERRERO LOC EL SALTO,34948,CE,47,Pueblo Nuevo,El Salto
PARQUE HUNDIDO,35049,CE,47,Gómez Palacio,Gómez Palacio
LOCALIDAD GUILLERMO PRIETO,34430,VE,46,Nuevo Ideal,
JOSE MARTI,34175,CE,46,Durango,Victoria de Durango
PUEBLO NUEVO EL 7,35106,CE,46,Gómez Palacio,
LOC. PICARDIAS,35188,VE,45,Lerdo,
ZONA CENTRO,34000,CE,45,Durango,Victoria de Durango
LOC MARTIN LOPEZ,34464,CE,45,Canatlán,
EJ LUCERO,35265,VE,44,Tlahualilo,
S/N,34405,VE,44,Canatlán,
LUZ DEL CARMEN,34167,VI,40,Durango,Victoria de Durango
JOSE ANGEL LEAL,34206,VI,39,Durango,Victoria de Durango
JUAN DE LA BARRERA,34150,IN,38,Durango,Victoria de Durango
FRACC. PUERTA DEL SOL,34125,IN,36,Durango,Victoria de Durango
FRACC. SANTA TERESA,35049,CE,35,Gómez Palacio,Gómez Palacio
SAN JUAN,34208,IN,35,Durango,Victoria de Durango
ZONA CENTRO,34410,VI,34,Nuevo Ideal,
HECTOR MAYAGOITIA DOMINGUEZ,35060,VI,34,Gómez Palacio,Gómez Palacio
BUGAMBILIAS,34234,VI,33,Durango,Victoria de Durango
VALLE CHAPALA,35025,VO,32,Gómez Palacio,Gómez Palacio
ZONA CENTRO,35150,VI,31,Lerdo,Ciudad Lerdo
POB EL ARENAL,34340,IN,31,Durango,
EJIDO LA FLOR,35100,IPP,31,Gómez Palacio,
VILLAS DEL GUADIANA VI,34224,IN,30,Durango,Victoria de Durango
MONTEBELLO,35157,VE,60,Lerdo,Ciudad Lerdo
BOSQUE REAL,35029,IN,40,Gómez Palacio,Gómez Palacio
VELARDEﾃ羨,35810,IN,29,Cuencamé,
AV. LOS NARANJOS,34190,CE,45,Durango,Victoria de Durango
EJIDAL,34700,VE,43,Guadalupe Victoria,
DIVISION DEL NORTE,31064,CE,39,,
EMILIANO ZAPATA,34230,CE,41,Durango,Victoria de Durango
EJIDO HUITRON,35117,IN,30,Gómez Palacio,
FIDEL VELAZQUEZ,35025,CE,53,Gómez Palacio,Gómez Palacio
FRACC. SAN JUAN,34208,CE,33,Durango,Victoria de Durango
CENTRO,35150,CE,52,Lerdo,Ciudad Lerdo
VILLA DE GUADALUPE,34010,IN,49,Durango,Victoria de Durango
DIVISION DEL NORTE,34140,VI,11,Durango,Victoria de Durango
FRACC. JARDINES DE DURANGO,34200,CE,54,Durango,Victoria de Durango
FRACC FILADELFIA,35010,VI,63,Gómez Palacio,Gómez Palacio
LOS ALAMOS,35020,CE,39,Gómez Palacio,Gómez Palacio
LOS ALAMOS,35020,CE,39,Gómez Palacio,Gómez Palacio
LOS ALAMOS,35020,CE,39,Gómez Palacio,Gómez Palacio
LOS ALAMOS,35020,CE,39,Gómez Palacio,Gómez Palacio
FRACC. HACIENDAS DEL CAMPESTRE,34131,VI,60,,
ASENTAMIENTOS HUMANOS,34145,CE,48,Durango,Victoria de Durango
HECTOR MAYAGOITIA DOMINGUEZ,34010,IN,17,Durango,Victoria de Durango
EL NAYAR,34303,OR,67,Durango,
COL. FCO ZARCO,34210,VI,67,Durango,Victoria de Durango
FRACC LAS AMERICAS,34200,CE,67,Durango,Victoria de Durango
RDCIAL SANTA TERESA,34199,VI,66,Durango,Victoria de Durango
LOPEZ PORTILLO,34010,VI,60,Durango,Victoria de Durango
ZONA CENTRO,34000,VI,59,Durango,Victoria de Durango
SANTA FE,34240,VI,58,Durango,Victoria de Durango
PUERTA DE LA CANTERA,34307,VE,58,Durango,
ASENTAMIENTOS HUMANOS,34145,VI,58,Durango,Victoria de Durango
ZONA CENTRO,34000,VE,58,Durango,Victoria de Durango
MPIO SIMON BOLIVAR,35964,VI,57,,
CENTRO,35000,VE,57,Gómez Palacio,Gómez Palacio
CENTRO,35000,VE,57,Gómez Palacio,Gómez Palacio
AGUSTIN MELGAR,34000,CE,56,Durango,Victoria de Durango
OBREGON,34950,CE,56,Pueblo Nuevo,
LOC NUEVA PATRIA,34353,CE,56,,
ZARAGOZA,35250,VE,55,Tlahualilo,
LUCIO CABAﾃ羨S,35157,VE,55,Lerdo,Ciudad Lerdo
FIDEL VELAZQUEZ,35025,CE,55,Gómez Palacio,Gómez Palacio
ZONA CENTRO,34410,VE,54,Nuevo Ideal,
LOC. SAN ISIDRO,34683,CE,54,San Dimas,
JUAN LIRA,34188,CE,53,Durango,Victoria de Durango
MADERERA,34050,CE,53,Durango,Victoria de Durango
MADERERA,34050,CE,53,Durango,Victoria de Durango
SAN BERNARDINO DE MILPILLAS,34000,IPP,52,Durango,Victoria de Durango
FRACC CANELAS,34290,CE,52,Durango,Victoria de Durango
BARRIO DE TIERRA BLANCA,34139,CE,52,Durango,Victoria de Durango
FRACC HUIZACHE I,34160,VE,51,Durango,Victoria de Durango
FRACC HAMBURGO,35019,IN,51,Gómez Palacio,Gómez Palacio
CHAPULTEPEC,34150,CE,51,Durango,Victoria de Durango
TIERRA Y LIBERTAD,34127,CE,51,Durango,Victoria de Durango
VALLE DEL GUADIANA,34166,CE,51,Durango,Victoria de Durango
CASA BLANCA,35024,CE,51,Gómez Palacio,Gómez Palacio
FRACC. NUEVO DURANGO,34166,CE,51,Durango,Victoria de Durango
CONSTITUYENTES,35158,VI,50,Lerdo,Ciudad Lerdo
ZARAGOZA,35250,VE,50,Tlahualilo,
EJ EL VALLE DE EUREKA,35112,VE,50,Gómez Palacio,
FRACC HUIZACHE,34160,CE,50,Durango,Victoria de Durango
DOM. CONOCIDO LA ESMERALDA,35120,VE,49,Gómez Palacio,
SANTA AMELIA,34205,CE,49,Durango,Victoria de Durango
TIERRA Y LIBERTAD,34127,CE,49,Durango,Victoria de Durango
FIDEL VELAZQUEZ 1,34229,CE,47,Durango,Victoria de Durango
LAS CUMBRES,34287,CE,47,Durango,Victoria de Durango
FRACC LOS ALAMOS,35024,VI,47,Gómez Palacio,Gómez Palacio
SAN JOSE DEL MOLINO,34393,CE,47,Durango,
SANTA ROSALIA,35950,VE,46,General Simón Bolívar,
JOSE MARTI,34175,CE,46,Durango,Victoria de Durango
LOC EL VERGEL,35120,CE,45,Gómez Palacio,
LOC MARTIN LOPEZ,34464,CE,45,Canatlán,
FIDEL VELAZQUEZ II,34229,CE,45,Durango,Victoria de Durango
EJIDO SAN IGNACIO,35140,CE,44,Gómez Palacio,
FRACC. TORREMOLINOS,35049,CE,44,Gómez Palacio,Gómez Palacio
LAGUNA SANTIAGUILLO,34204,CE,43,Durango,Victoria de Durango
LA MERCED II,27000,VO,40,,
LUZ DEL CARMEN,34167,VI,40,Durango,Victoria de Durango
FRACC. PUERTA DEL SOL,34125,IN,36,Durango,Victoria de Durango
LOPEZ PORTILLO,34010,VO,36,Durango,Victoria de Durango
SAN JUAN,34208,IN,35,Durango,Victoria de Durango
ZONA CENTRO,34410,VI,34,Nuevo Ideal,
LOPEZ PORTILLO,34010,VI,33,Durango,Victoria de Durango
LOPEZ PORTILLO,34010,VI,33,Durango,Victoria de Durango
BUGAMBILIAS,34234,VI,33,Durango,Victoria de Durango
ZONA CENTRO,35150,VI,31,Lerdo,Ciudad Lerdo
CAMINOS DEL SOL,34236,CE,31,Durango,Victoria de Durango
POB EL ARENAL,34340,IN,31,Durango,
VILLAS DEL GUADIANA VI,34224,IN,30,Durango,Victoria de Durango
DOM. CONOCIDO EJ. SAN JOSE DE VIﾃ薦DO,35140,CE,28,Gómez Palacio,
NUEVO DURANGO II,34166,IN,28,Durango,Victoria de Durango
LOS ALAMOS,35020,CE,53,Gómez Palacio,Gómez Palacio
JOSE CAMPILLO SAENZ,35079,CE,53,Gómez Palacio,Gómez Palacio
CENTRO,35800,CE,52,Cuencamé,
CENTRO,35000,CE,52,Gómez Palacio,Gómez Palacio
CENTRO,35150,CE,50,Lerdo,Ciudad Lerdo
TIERRA BLANCA,35045,CE,49,Gómez Palacio,Gómez Palacio
FRACC. SAN ANTONIO,35015,CE,47,Gómez Palacio,Gómez Palacio
ZONA CENTRO,35150,CE,45,Lerdo,Ciudad Lerdo
MPIO LERDO DGO,35189,IN,37,Lerdo,
211,35044,VO,34,Gómez Palacio,Gómez Palacio
,00nan,VE,29,,
EJIDAL,34700,VE,43,Guadalupe Victoria,
EJIDO HUITRON,35117,IN,30,Gómez Palacio,
LOC. LEON GUZMAN,35170,VE,59,Lerdo,
MPIO SIMON BOLIVAR,35196,VE,53,Lerdo,
FRACC. JARDINES DE DURANGO,34200,CE,54,Durango,Victoria de Durango
FIDEL VELAZQUEZ,35025,CE,50,Gómez Palacio,Gómez Palacio
MORELOS,34940,CE,47,Pueblo Nuevo,El Salto
SANTA ELENA,27294,VE,44,,
FRACC. LAS AMERICAS,34200,VI,67,Durango,Victoria de Durango
SANTA MARIA,34050,CE,63,Durango,Victoria de Durango
TIERRA Y LIBERTAD,34127,VE,63,Durango,Victoria de Durango
FRANCISCO ZARCO,34210,VI,62,Durango,Victoria de Durango
ARMANDO DEL CASTILLO,34214,VE,59,Durango,Victoria de Durango
EJ EL BANCO NACIONAL,35265,VI,57,Tlahualilo,
EJ EL BANCO NACIONAL,35265,VE,57,Tlahualilo,
AZCAPOTZALCO,34160,VE,57,Durango,Victoria de Durango
ZONA CENTRO,35250,VE,56,Tlahualilo,
SAN VICENTE CHUPADEROS,34394,VI,56,Durango,
EL SALTO,34940,VI,56,Pueblo Nuevo,El Salto
LEGISLADORES DURANGUEﾃ前S,34000,CE,56,Durango,Victoria de Durango
CENTRO,35000,VE,54,Gómez Palacio,Gómez Palacio
LOC. NAZARENO2,35188,CE,54,Lerdo,
FRAC. JARDINES DE DURANGO,34200,IN,53,Durango,Victoria de Durango
FIDEL VELAZQUEZ,35025,CE,53,Gómez Palacio,Gómez Palacio
DOM. CONOCIDO EJ. 13 DE MARZO,35123,VI,52,Gómez Palacio,
SAN JOSE DEL MOLINO,34393,VI,51,Durango,
EJ GLORIETA,35111,CE,51,Gómez Palacio,
DOM. CONOCIDO EJ. LA POPULAR,35130,CE,51,Gómez Palacio,
FRACC. VILLAS LAS MISIONES,35049,CE,51,Gómez Palacio,Gómez Palacio
CANELAS,34290,CE,51,Durango,Victoria de Durango
ABRAHAM ROSALES,35018,CE,51,Gómez Palacio,Gómez Palacio
EJ EUREKA,35111,VE,50,Gómez Palacio,
FELIPE ANGELES,34048,VI,50,Durango,Victoria de Durango
16 DE SEPTIEMBRE,34030,CE,50,Durango,Victoria de Durango
GUADALUPE INFONAVID,34220,VI,50,Durango,Victoria de Durango
DOM. CONOCIDO EJ. ESMERALDA,35120,CE,50,Gómez Palacio,
SAN JULIO,35250,CE,50,Tlahualilo,
FRANCISCO ZARCO,34400,CE,50,Canatlán,
SAN VICENTE CHUPADEROS,34301,CE,48,,
EJ EL BANCO NACIONAL,35265,VE,46,Tlahualilo,
EJ EL BANCO NACIONAL,35265,VE,46,Tlahualilo,
LOC. PICARDIAS,35188,VE,45,Lerdo,
MAXIMO GAMIZ,34230,IN,45,Durango,Victoria de Durango
ISABEL ALMAZA,34167,IPP,45,Durango,Victoria de Durango
VILLA JARDIN,35168,CE,44,Lerdo,Ciudad Lerdo
ZONA CENTRO,34000,CE,44,Durango,Victoria de Durango
EJ ESMERALDA,35120,VI,43,Gómez Palacio,
DOM. CONOCIDO EJ. NVO. CASTILLO,35141,CE,43,Gómez Palacio,
LOMA DORADA,34104,CE,43,Durango,Victoria de Durango
SOLIDARIDAD,35017,CE,43,Gómez Palacio,Gómez Palacio
TOMAS URBINA,34139,OR,38,Durango,Victoria de Durango
JUAN DE LA BARRERA,34228,IN,38,Durango,Victoria de Durango
HIDALGO,34310,VI,36,Durango,
FRACC. SANTA TERESA,35049,CE,35,Gómez Palacio,Gómez Palacio
SILVESTRE DORADOR,34070,CE,31,Durango,Victoria de Durango
PROVIDENCIA,35250,CE,30,Tlahualilo,
VILLAS DEL GUADIANA VI,34224,IN,30,Durango,Victoria de Durango
MONTEBELLO,35157,VE,60,Lerdo,Ciudad Lerdo
FRACC DEL BOSQUE,35048,VE,57,Gómez Palacio,Gómez Palacio
LOC. SANTA ROSALIA,35956,VE,56,General Simón Bolívar,
JOSE CAMPILLO SAENZ,35079,CE,53,Gómez Palacio,Gómez Palacio
FIDEL VELAZQUEZ,35025,CE,52,Gómez Palacio,Gómez Palacio
TIERRA BLANCA,35045,CE,49,Gómez Palacio,Gómez Palacio
BRITINHAM,35030,CE,49,Gómez Palacio,Gómez Palacio
AMP SAN ANTONIO,35015,CE,45,Gómez Palacio,Gómez Palacio
FRACC. LOS MOLINOS,35159,VI,33,Lerdo,Ciudad Lerdo
HECTOR MAYAGOITIA DGUEZ.,34010,IN,42,Durango,Victoria de Durango
JOSE MARIA MORELOSA Y PAVON,34197,CE,49,Durango,Victoria de Durango
VILLA NAPOLES,35018,CE,54,Gómez Palacio,Gómez Palacio
DIVISION DEL NORTE,34140,CE,11,Durango,Victoria de Durango
DIVISION DEL NORTE,34140,VI,11,Durango,Victoria de Durango
CINCO DE MAYO,35168,VI,61,Lerdo,Ciudad Lerdo
FRACC. JARDINES DE DURANGO,34200,CE,54,Durango,Victoria de Durango
CINCO DE MAYO,35040,VE,59,Gómez Palacio,Gómez Palacio
MORELOS,34940,CE,47,Pueblo Nuevo,El Salto
SANTA ELENA,27294,VE,44,,
COL. FCO ZARCO,34210,VI,67,Durango,Victoria de Durango
FRACC. LAS AMERICAS,34200,VI,67,Durango,Victoria de Durango
COL. GUADALUPE,34020,VI,66,Durango,Victoria de Durango
RDCIAL SANTA TERESA,34199,VI,66,Durango,Victoria de Durango
TIERRA Y LIBERTAD,34127,VE,63,Durango,Victoria de Durango
LA ALAMEDAS,35800,VE,62,Cuencamé,
LA FORESTAL,34217,VE,61,Durango,Victoria de Durango
LOPEZ PORTILLO,34010,VI,60,Durango,Victoria de Durango
ARMANDO DEL CASTILLO,34214,VE,59,Durango,Victoria de Durango
MPIO SIMON BOLIVAR,35964,VI,57,,
CENTRO,35000,VE,57,Gómez Palacio,Gómez Palacio
ZONA CENTRO,35250,VE,56,Tlahualilo,
SAN VICENTE CHUPADEROS,34000,CE,56,Durango,Victoria de Durango
SAN VICENTE CHUPADEROS,34394,VI,56,Durango,
AGUSTIN MELGAR,34000,CE,56,Durango,Victoria de Durango
EL SALTO,34940,VI,56,Pueblo Nuevo,El Salto
EL DURAZNO,34321,CE,56,,
INSURGENTES,34130,VE,55,Durango,Victoria de Durango
ZARAGOZA,35250,VE,55,Tlahualilo,
ASENTAMIENTOS HUMANOS,34131,VE,54,,
AMALIA SOLORZANO,34136,VE,53,Durango,Victoria de Durango
DOM. CONOCIDO EJ. LA POPULAR,35130,CE,53,Gómez Palacio,
MI RANCHITO,34700,CE,53,Guadalupe Victoria,
EMILIANO ZAPATA,34230,CE,53,Durango,Victoria de Durango
EL REFUGIO,34358,CE,52,Durango,
BARRIO DE TIERRA BLANCA,34139,CE,52,Durango,Victoria de Durango
LOC AMERICA UNO,35147,CE,52,Gómez Palacio,
EL DORADO,35028,CE,52,Gómez Palacio,Gómez Palacio
SAN JOSE DEL MOLINO,34393,VI,51,Durango,
HUIZACHE 1,34160,VE,51,Durango,Victoria de Durango
ARMANDO DEL CASTILLO FRANCO,34214,CE,51,Durango,Victoria de Durango
LOC. PENJAMO,35128,VE,50,Gómez Palacio,
ZARAGOZA,35250,VE,50,Tlahualilo,
EJ EUREKA,35111,VE,50,Gómez Palacio,
DOM. CONOCIDO EJ. ESMERALDA,35120,VE,50,Gómez Palacio,
EJ EL VALLE DE EUREKA,35112,VE,50,Gómez Palacio,
EJ JIMENEZ,35111,VE,50,Gómez Palacio,
FELIPE ANGELES,34048,VI,50,Durango,Victoria de Durango
16 DE SEPTIEMBRE,34030,CE,50,Durango,Victoria de Durango
GUADALUPE INFONAVID,34220,VI,50,Durango,Victoria de Durango
SAN JULIO,35250,CE,50,Tlahualilo,
FRANCISCO ZARCO,34400,CE,50,Canatlán,
NUEVO REFUGIO,35029,CE,50,Gómez Palacio,Gómez Palacio
LOC DINAMITA,35111,CE,49,Gómez Palacio,
CANELAS,34290,CE,49,Durango,Victoria de Durango
CANELAS,34290,CE,49,Durango,Victoria de Durango
CANELAS,34290,CE,49,Durango,Victoria de Durango
SAN VICENTE CHUPADEROS,34301,CE,48,,
BUROCRATA,34279,CE,48,Durango,Victoria de Durango
ZONA CENTRO,34000,VE,47,Durango,Victoria de Durango
CARLOS HERRERA,35027,CE,47,Gómez Palacio,Gómez Palacio
FIDEL VELAZQUEZ 1,34229,CE,47,Durango,Victoria de Durango
FRACC LOS ALAMOS,35024,VI,47,Gómez Palacio,Gómez Palacio
